Word,NPhon,NMorph,NSyll
ALF,3,1,1
ALFA,4,1,2
alfresco,8,1,3
algebraical,10,3,5
algebras,8,2,3
ALGER,4,1,2
ALGINATES,NA,NA,NA
ALGOL,5,NA,2
algorithmic,10,2,4
algorithms,10,2,4
ALIA,4,1,2
ALIAH,NA,NA,NA
aliases,7,2,3
alienating,9,3,4
alienist,8,2,3
alienists,9,3,3
ALIENUS,NA,NA,NA
alighted,6,2,3
alighting,6,2,3
alights,5,2,2
aligns,5,3,2
allegros,7,2,3
alimentary,10,2,5
aliments,8,NA,3
ALIQUOTS,8,2,3
ALISON,5,1,3
alit,4,NA,2
ALIX,5,NA,2
ALIX'S,8,NA,4
ALIZARIN,8,1,4
ALKALOIDS,8,3,3
ALKYLARYSULFONATE,NA,NA,NA
ALKYLBENZENESULFONATES,NA,NA,NA
ALLA,4,NA,2
allayed,4,2,2
allaying,5,2,3
allays,4,2,2
alleges,6,2,3
ALLEGHENIES,NA,NA,NA
ALLEGHENY,7,1,4
allegorically,10,4,5
allegories,8,3,4
ALLEGRETTI,8,NA,4
allegrettos,9,2,4
alleluias,8,2,4
ALLEMANDS,NA,NA,NA
allergens,7,3,3
alleviated,9,3,5
alleviates,8,3,4
alligators,8,2,4
alliterated,10,4,5
alliterates,9,4,4
alliterating,10,4,5
alliteratively,12,5,6
allocates,7,3,3
allocating,8,3,4
ALLONS,5,NA,2
allopathical,NA,NA,NA
allopathically,11,NA,6
allots,5,2,2
allowably,7,3,3
alloyed,4,2,2
alloying,5,2,3
ALLSO,NA,NA,NA
ALLSTATES,7,NA,2
allured,5,2,2
allurements,9,3,3
allures,5,2,2
allusively,8,3,4
alluvia,NA,NA,NA
alluvial,7,2,3
alluvium,7,2,3
alluviums,8,3,3
allying,5,2,3
ALMA,4,1,2
ALMADEN,7,NA,3
ALMAGEST,8,1,3
almanacs,8,2,3
almoner,5,2,3
almoners,6,3,3
ALOKUT,NA,NA,NA
aloofly,6,2,3
alopecia,7,1,4
ALORS,NA,NA,NA
alpaca,6,1,3
alpacas,7,2,3
alpenhorn,9,1,3
alpenhorns,10,2,3
alpenstock,9,1,3
alpenstocks,10,2,3
ALPERS,5,NA,2
ALPERT,5,1,2
ALPERTS,NA,NA,NA
alphabetically,11,3,5
alphabets,8,2,3
ALPHARETTA,7,NA,4
alphas,5,2,2
ALPHONSE,6,1,2
alpinism,9,NA,4
alpinist,8,NA,3
alpinists,9,NA,3
ALREADEH,NA,NA,NA
Alsace,5,1,2
Alsatian,7,2,3
Alsatians,8,3,3
ALSING,5,NA,2
ALSOP,5,1,2
ALTAIRIANS,9,4,3
altarpieces,9,3,4
altars,5,2,2
ALTENBURG,8,NA,3
alterable,7,2,4
altercated,9,2,4
altercates,8,2,3
altercating,9,2,4
altercations,9,3,4
alternates,8,3,3
alternations,9,4,4
alternators,9,4,4
ALTHAUS,6,NA,2
ALTHEA,5,1,2
ALTHO,NA,NA,NA
altimeter,8,2,4
altimeters,9,3,4
altitudes,8,3,3
ALTON,5,2,2
altos,5,2,2
altruisms,9,3,4
altruistic,10,3,4
altruists,9,3,3
alumna,6,2,3
alumnus,7,2,3
ALUNDUM,7,NA,3
ALUSIK,NA,NA,NA
ALUSIK'S,NA,NA,NA
ALVA,4,1,2
ALVAREZ,7,1,3
ALVEAR,5,NA,2
alveolars,8,3,3
ALVIN,5,1,2
ALVISE,NA,NA,NA
ALWIN,5,NA,2
alyssum,6,1,3
alyssums,7,2,3
AMADEE,NA,NA,NA
AMADEE'S,NA,NA,NA
AMADO,5,NA,3
amah,3,NA,2
amahs,4,NA,2
amalgam,7,1,3
amalgamates,10,3,4
amalgamating,11,3,5
amalgamations,11,4,5
amalgams,8,2,3
amanuenses,10,2,5
amanuensis,11,2,5
AMARAL,6,NA,3
amaryllis,8,1,4
amaryllises,10,2,5
amassed,5,3,2
amasses,6,3,3
amateurishly,9,3,5
amateurism,8,2,5
amazes,6,2,3
ambassadorial,12,2,5
ambassadorship,11,2,5
ambassadorships,12,NA,5
ambassadress,10,2,4
ambassadresses,12,3,5
ambergris,8,1,3
ambidextrously,14,4,5
ambiguously,11,3,4
ambit,5,1,2
ambitiousness,10,3,4
ambits,6,2,2
ambivalently,12,4,5
ambiguousness,12,3,4
AMBLER,5,2,2
ambles,5,2,2
ambulant,9,2,3
ambuscaded,10,2,4
ambuscades,9,2,3
ambuscading,10,2,4
ambushing,7,2,3
AmE,2,NA,1
AMEAUX,3,NA,2
ameliorated,11,3,5
ameliorates,10,3,4
ameliorating,11,3,5
amelioration,10,3,5
amends,6,2,2
amenities,8,2,4
AMENITSKII,NA,NA,NA
AMERICANEGRO,12,NA,6
ammeters,6,NA,3
AMMONIAC,7,1,4
ammoniate,7,NA,4
ammoniated,9,NA,5
Americanism,11,3,6
Americanisms,12,4,6
americanized,11,4,5
americanizes,12,4,6
